date,Outstanding Mortgages: Total mortgage loan accounts outstanding,Arrears: Total mortgage accounts in arrears,Arrears: Total mortgage accounts in arrears - over 90 days,Arrears: % of loan accounts in arrears for more than 90 days
Sep-09,794609,63619,26271,3.3
Dec-09,792885,69647,28603,3.6
Mar-10,791047,76100,32321,4.1
Jun-10,789814,82377,36438,4.6
Sep-10,788745,86362,40472,5.1
Dec-10,786164,89234,44508,5.7
Mar-11,782429,94518,49609,6.3
Jun-11,777321,102397,55763,7.2
Sep-11,773420,110597,62970,8.1
Dec-11,768955,118464,69354,9
Mar-12,764138,122941,75679,9.9
Jun-12,765267,128197,81035,10.6
Sep-12,794275,141389,91358,11.5
Dec-12,778375,139224,92349,11.9
Mar-13,774109,142118,95554,12.3
Jun-13,770610,142892,97874,12.7
Sep-13,768136,141269,98736,12.9
Dec-13,764541,136558,96467,12.6
Mar-14,762454,132217,93106,12.2
Jun-14,762575,126005,90343,11.8
Sep-14,760238,117889,84955,11.2
Dec-14,758988,110366,78699,10.4
Mar-15,757175,104693,74395,9.8
Jun-15,754688,98155,70296,9.3
Sep-15,749851,92361,65653,8.8
Dec-15,746618,88292,61931,8.3
Mar-16,744685,86808,60453,8.1
Jun-16,741785,82882,58309,7.9
Sep-16,739421,80321,57067,7.7
Dec-16,737795,78249,54977,7.5
Mar-17,734976,77146,53793,7.3
Jun-17,733289,74410,52419,7.1
Sep-17,731928,73197,51327,7
Dec-17,730856,71517,49386,6.8
Mar-18,728575,71833,48538,6.7
Jun-18,725693,66479,46008,6.3
